heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,2500,50,7,0.0184,1000,2996,0.4
monotona,2500,50,8,0.0067,1000,2972,0.4
monotona,2500,50,9,0.0118,1000,2725,0.4
monotona,2500,50,10,0.0055,1000,2946,0.4
monotona,2500,50,1,0.0034,1000,3180,0.5
monotona,2500,50,2,0.0112,1000,2999,0.5
monotona,2500,50,3,0.0054,1000,3047,0.5
monotona,2500,50,4,0.0060,1000,2979,0.5
monotona,2500,50,5,0.0063,1000,2956,0.5
monotona,2500,50,6,0.0112,1000,2989,0.5
monotona,2500,50,7,0.0053,1000,3271,0.5
monotona,2500,50,8,0.0064,1000,2981,0.5
monotona,2500,50,9,0.0053,1000,2999,0.5
monotona,2500,50,10,0.0029,1000,3220,0.5
monotona,2500,50,1,0.0110,1000,2919,0.6
monotona,2500,50,2,0.0090,1000,3005,0.6
monotona,2500,50,3,0.0046,1000,3227,0.6
monotona,2500,50,4,0.0139,1000,2830,0.6
monotona,2500,50,5,0.0057,1000,3163,0.6
monotona,2500,50,6,0.0053,1000,3280,0.6
monotona,2500,50,7,0.0088,1000,2880,0.6
monotona,2500,50,8,0.0043,1000,3165,0.6
monotona,2500,50,9,0.0099,1000,2976,0.6
monotona,2500,50,10,0.0058,1000,3109,0.6
monotona,2500,50,1,0.0059,1000,3194,0.7
monotona,2500,50,2,0.0056,1000,2955,0.7
monotona,2500,50,3,0.0092,1000,2944,0.7
monotona,2500,50,4,0.0075,1000,2923,0.7
monotona,2500,50,5,0.0104,1000,2997,0.7
monotona,2500,50,6,0.0088,1000,3007,0.7
monotona,2500,50,7,0.0085,1000,2990,0.7
monotona,2500,50,8,0.0060,1000,3001,0.7
monotona,2500,50,9,0.0137,1000,2845,0.7
monotona,2500,50,10,0.0051,1000,2978,0.7
monotona,2500,50,1,0.0072,1000,2984,0.8
monotona,2500,50,2,0.0127,1000,2899,0.8
monotona,2500,50,3,0.0134,1000,2970,0.8
monotona,2500,50,4,0.0074,1000,3135,0.8
monotona,2500,50,5,0.0147,1000,2825,0.8
monotona,2500,50,6,0.0053,1000,2994,0.8
monotona,2500,50,7,0.0097,1000,3214,0.8
monotona,2500,50,8,0.0090,1000,2968,0.8
monotona,2500,50,9,0.0082,1000,3006,0.8
monotona,2500,50,10,0.0058,1000,3095,0.8
monotona,2500,50,1,0.0062,1000,3078,0.9
monotona,2500,50,2,0.0091,1000,2955,0.9
monotona,2500,50,3,0.0092,1000,2951,0.9
monotona,2500,50,4,0.0107,1000,3052,0.9
monotona,2500,50,5,0.0069,1000,3067,0.9
monotona,2500,50,6,0.0083,1000,3011,0.9
monotona,2500,50,7,0.0162,1000,2883,0.9
monotona,2500,50,8,0.0093,1000,3074,0.9
monotona,2500,50,9,0.0093,1000,2973,0.9
monotona,2500,50,10,0.0108,1000,3046,0.9
