Heuristica,N,M,Replicacao,Tempo,Iteracoes,Valor,Parametro
nmlrs,400,20,10,0.0000,1000,1153,0.9
nmlrs,353,50,1,0.0000,1000,594,0.1
nmlrs,353,50,2,0.0000,1000,511,0.1
nmlrs,353,50,3,0.0000,1000,623,0.1
nmlrs,353,50,4,0.0000,1000,604,0.1
nmlrs,353,50,5,0.0000,1000,593,0.1
nmlrs,353,50,6,0.0000,1000,545,0.1
nmlrs,353,50,7,0.0000,1000,547,0.1
nmlrs,353,50,8,0.0000,1000,734,0.1
nmlrs,353,50,9,0.0000,1000,546,0.1
nmlrs,353,50,10,0.0084,1000,543,0.1
nmlrs,353,50,1,0.0000,1000,536,0.2
nmlrs,353,50,2,0.0005,1000,553,0.2
nmlrs,353,50,3,0.0000,1000,531,0.2
nmlrs,353,50,4,0.0000,1000,525,0.2
nmlrs,353,50,5,0.0000,1000,544,0.2
nmlrs,353,50,6,0.0000,1000,529,0.2
nmlrs,353,50,7,0.0000,1000,550,0.2
nmlrs,353,50,8,0.0000,1000,480,0.2
nmlrs,353,50,9,0.0039,1000,653,0.2
nmlrs,353,50,10,0.0000,1000,537,0.2
nmlrs,353,50,1,0.0000,1000,606,0.3
nmlrs,353,50,2,0.0000,1000,542,0.3
nmlrs,353,50,3,0.0000,1000,526,0.3
nmlrs,353,50,4,0.0000,1000,749,0.3
nmlrs,353,50,5,0.0000,1000,510,0.3
nmlrs,353,50,6,0.0000,1000,512,0.3
nmlrs,353,50,7,0.0000,1000,501,0.3
nmlrs,353,50,8,0.0000,1000,517,0.3
nmlrs,353,50,9,0.0062,1000,504,0.3
nmlrs,353,50,10,0.0000,1000,472,0.3
nmlrs,353,50,1,0.0000,1000,615,0.4
nmlrs,353,50,2,0.0000,1000,521,0.4
nmlrs,353,50,3,0.0000,1000,568,0.4
nmlrs,353,50,4,0.0000,1000,523,0.4
nmlrs,353,50,5,0.0000,1000,506,0.4
nmlrs,353,50,6,0.0000,1000,529,0.4
nmlrs,353,50,7,0.0000,1000,467,0.4
nmlrs,353,50,8,0.0000,1000,503,0.4
nmlrs,353,50,9,0.0000,1000,535,0.4
nmlrs,353,50,10,0.0000,1000,523,0.4
nmlrs,353,50,1,0.0000,1000,618,0.5
nmlrs,353,50,2,0.0000,1000,579,0.5
nmlrs,353,50,3,0.0000,1000,502,0.5
nmlrs,353,50,4,0.0099,1000,494,0.5
nmlrs,353,50,5,0.0000,1000,571,0.5
nmlrs,353,50,6,0.0013,1000,561,0.5
nmlrs,353,50,7,0.0000,1000,475,0.5
nmlrs,353,50,8,0.0000,1000,495,0.5
nmlrs,353,50,9,0.0000,1000,535,0.5
